Record,Record.Cathy,Group,Participant,Habitat,Revised.Habitat,Biome1,Biome2,Importance,Why.important...ECOSYSTEM.SERVICE,Habitat.area,Habitat.condition,Mammals,Birds,Reptiles.amphibians,Fish,Invertebrates,Trees,Other.plants,Fungi,Other,Soil.fertility,Soil.intacteness,Water.quantity,Water.quality,Why.changed.habitat...DRIVER,Habitat.area.will,Habitat.condition.will,Measures.needed,Action.and.by.whom,Comments,ES.HAB,ES.POL,ES.AIR,ES.CLI,ES.OCE,ES.WQN,ES.WQL,ES.SOL,ES.HAZ,ES.PST,ES.NRG,ES.FOD,ES.MAT,ES.MED,ES.LRN,ES.EXP,ES.IDE,ES.OPT,ES.WEB,ES.LIV,DIR.ACT,DIR.CC,DIR.IAS,DIR.LUC,DIR.OVR,DIR.POL,IND.CLT,IND.DEM,IND.ECO,IND.GVN,IND.LUC,IND.S.T,ACT.LAND,ACT.SPEC,ACT.AWAR,ACT.ENFORC,ACT.ECON,ACT.PROTECT,ACT.LAWPOL,ACT.RSRCH,ACT.EDUC,ACT.INST
11,86,Blue,49,lowland forest,Forest - Lowland,Forest,Forest,Low,Natural trees,Not changed,Improved,No answer,No answer,No answer,No answer,No answer,Less,No answer,No answer,No answer,No answer,Not changed,Decreased,Deteriorated,Increased cutting of natural trees and there no efforts for replacing the cut ones,Not change,Deteriorate,Yes,"Continue enducating people as without that, all forests will be wiped out",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,87,Blue,55,"Highlands (1,200 - 1800 m asl.)",Agroforestry - Chagga Homegarden,Agriculture,Agroforestry,High,"Water sources e.g. Springs, rivers; natural food and fruits; nice weather; natural herbs; wellbeing of people in the lowlands",Decreased,Deteriorated,More,More,More,More,More,More,More,More,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,Overpopulation; Corruption; Ignorance; Unemployment,Decrease,Deteriorate,Yes,Law enorcement; conditional migration; Afforestation; economic empowerment to youths; alternarive employment opportunities  ,Development of stakeholders empowerment including beekeeping,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0
13,88,Blue,55,"Midlelands (300 m - 1,200 m asl.)",Agriculture - Cropland,Agriculture,Agriculture,High,Important for the wellbeing of the people in the lowlands; water sources; sources of natural food and fruits,Decreased,Deteriorated,More,More,More,More,More,More,More,More,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,Overpopulation; Deforestation; Unemploymen; Climate change; ignorance; Poverty; Decrease in coffee prices,Decrease,Deteriorate,Yes,Community should see the danger and change; Government to facilitate afforestation campaigns; Formulation and enforcement of strict laws; stop corruption in the government system ,Well prepared land use plan; Find alternative cultivation areas; sensitize community ti shift,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,3,0,0,0,1,0,0,1,1,0,0,0,0,0
14,89,Blue,55,Lowlands (700 m asl.),Agriculture - Cropland,Agriculture,Agriculture,High,There is diversified economy; business; cultivation; livestock keeping; industrial activities,Decreased,Deteriorated,More,More,More,More,More,More,More,No answer,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,"Population increase; bad behaviors; money maniac; Unemployment; poor policies on matters related ti youths, employment and conservation; corruption; industrilization",Decrease,Deteriorate,Yes,Government should formulate and enforce strong policies; promote environmental studies across levels; There should be land use plans; Government to invest on youths example through vocational training,Encourage development stakeholders to work on conservation activities; seek for alternative employment opportunities for youths; severe punishment to violators,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,1,2,0,0,1,0,0,0,0,0,2,0,2,0
15,90,Blue,61,Highland ,Agroforestry - Chagga Homegarden,Agriculture,Agroforestry,High,It is important to the society and their settlement areas,Increased,Improved,More,No answer,Less,No answer,Less,More,More,No answer,No answer,Deteriorated,Deteriorated,Decreased,Improved,Increased population,Decrease,Deteriorate,Yes,Improve community knowledge on environmental protection,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,91,Blue,66,Chagga home garden,Agroforestry - Chagga Homegarden,Agriculture,Agroforestry,High,"Chagga home garden help the household to survive through: health services, school fees; other uses",Not changed,Deteriorated,Less,Less,Less,No change,Less,Less,Less,Less,Less,No answer,No answer,Increased,Improved,This is because the government has ensured that every family gets safe water,Not change,Deteriorate,No,The Government,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,92,Blue,66,Springs,Freshwater - Springs,Freshwater,Freshwater,High,"Without the springs, all rivers would not have enough water for human uses",Decreased,Deteriorated,Less,Less,Less,No change,Less,Less,Less,Less,No change,Deteriorated,Deteriorated,Increased,Improved,Because of efforts by Government,Not change,Deteriorate,Yes,Conserve all water sources in order ti protect from destruction,NA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
18,93,Blue,66,Agroforestry,Forest - Planted,Forest,Forest,No answer,Important for environmental conservation; household provision of timber and firewood ,Decreased,Not changed,Less,No change,Less,Less,Less,Less,Less,No change,No answer,Deteriorated,Deteriorated,Decreased,Improved,The change has occured because of climate change and lack of awareness,Not change,Deteriorate,Yes,More knowledge should be given to people,NA,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,94,Blue,71,Chagga home garden,Agroforestry - Chagga Homegarden,Agriculture,Agroforestry,High,"Important to families as it offers sustainable livelihood within households; firewood, green vegies and fruit source",Decreased,Deteriorated,Less,Less,Less,Less,Less,Less,Less,No answer,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,Increase of population; use of incectcides; Pollution,Decrease,Deteriorate,Yes,Training on how to improve biodiversity in the chagga home gardens; Encourage organic farming; Encourage production of native food stuffs,NA,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
20,95,Blue,71,Natural water springs,Freshwater - Springs,Freshwater,Freshwater,No answer,Provision of adequate clean and safer water; improved environmental condition,Decreased,Deteriorated,Less,Less,Less,Less,Less,Less,Less,Less,Less,Deteriorated,Deteriorated,Decreased,Deteriorated,Increased population; invation of the natuaral springs for farming,Decrease,Deteriorate,Yes,Reinfocement of laws and policies; better use of land management; identification of all natural springs; Protection of all the natural springs,NA,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0
21,96,Blue,71,Agroforestry,Forest - Planted,Forest,Forest,High,Because regulates temperatures; provision of family needs like fuel wood; household livelihood improvement; act as wind break to farm crops,Decreased,Deteriorated,Less,Less,Less,Less,More,Less,No answer,Less,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,Due to excessive tree cutting; Increased wind; rainfall scarcity,Decrease,Deteriorate,Yes,Advocate tree planting; Restrict tree cutting; subsidize the alternative cooking energies such as electricity,NA,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
22,97,Blue,73,Water sources,Freshwater - Springs,Freshwater,Freshwater,High,Water is a basic requirement for all  living organisms; water is life,Decreased,Deteriorated,Less,Less,Less,Less,Less,Less,Less,Less,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,Increasedhuman population; water sources destruction; Tree cutting in the water sources,Increase,Deteriorate,Yes,Plant trees around water sources; Grow crops that use less water; Encourage modern agriculture,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
23,98,Blue,74,"Midlelands (700 m - 1,200 m asl.)",Agriculture - Cropland,Agriculture,Agriculture,Moderate,Main source of staple foods and vegetable proteins to residents,Not changed,Deteriorated,No answer,More,Less,Less,More,Less,Less,Less,More,Deteriorated,Deteriorated,Decreased,Deteriorated,Low quality insectcides and fertilizers; climate change; poor farming methods; bad seeds ,Decrease,Deteriorate,Yes,TPRI should recommend correct insecticides; soil tests should be done; tilling across gradient; Promote good quality seed,Revisit the colonial times regulations that are currently abandoned; while there is increased beuracracy,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0
24,99,Blue,74,Above 1800 m,Forest - Montane,Forest,Forest,Moderate,Provides source of water,Decreased,Deteriorated,Less,Less,Less,Less,Less,Less,Less,Less,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,Increaased in breakage of protecteed areas regulations,Decrease,Deteriorate,Yes,Existing regulations and laws need to be enforced and offenders be punished,Agricultural laws are not being followed,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
25,100,Blue,74,Highlands ,Agroforestry - Chagga Homegarden,Agriculture,Agroforestry,High,Majority of people live in this area,Decreased,Deteriorated,Less,Less,Less,Less,Less,Less,Less,Less,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,Increased use of land without replenishment; increased human population; Corruption,Decrease,Deteriorate,Yes,Find permanent measures by engaging both the communities and agricultural experts,There is no agricultural policy in Tanzania; only empty political statements,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
26,101,Blue,128,Natural Springs,Freshwater - Springs,Freshwater,Freshwater,High,Water is important for everyday use by human and animals,Decreased,Deteriorated,Less,Less,Less,Less,More,Less,Less,Less,Less,No answer,No answer,Decreased,Deteriorated,human activities around the springs,Decrease,Deteriorate,Yes,Govenment to take strong measures against thise who are undertaking illegal activities around springs,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,102,Blue,128,Natural forest,Forest,Forest,Forest,High,Helps in  increased income to the community; Rain source,Decreased,Deteriorated,Less,Less,Less,Less,More,Less,Less,Less,Less,No answer,Deteriorated,Decreased,Deteriorated,Increased illegal activities within the forests,Decrease,Deteriorate,Yes,Government to take action against those undertaking illegal activities around forests,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,103,Blue,128,Coffee Plantations,Agriculture - Plantations,Agriculture,Agriculture,High,Improvement of life because of income generated from coffee selling,Decreased,Deteriorated,Less,Less,Less,More,More,Less,Less,Less,Less,Deteriorated,Deteriorated,Decreased,Deteriorated,Things have changed because of climate change; youth not willing to take part in coffee plantations,Decrease,Deteriorate,Yes,Improving agricultural methods; Government shouldprovide agricultural inputs and waive taxes on them,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
29,104,Blue,129,Natural rivers,Freshwater - Rivers,Freshwater,Freshwater,High,Provides water for home use and agricultural purposes,Decreased,Deteriorated,Less,Less,Less,Less,Less,Less,Less,Less,Less,Deteriorated,Deteriorated,Decreased,Deteriorated,Increased human activities in the river source; use of chemicals/incectcides ,Decrease,Deteriorate,Yes,No one should be allowed to undertake farming along rivers; Government to set strict rules on protection of rivers,NA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30,105,Blue,129,Chagga home garden,Agroforestry - Chagga Homegarden,Agriculture,Agroforestry,High,"Chagga villages are so important as the are important tourism attraction; Sources of food crops, fruits",Decreased,Deteriorated,Less,Less,Less,No change,Less,Less,Less,Less,Less,Deteriorated,Deteriorated,Decreased,Deteriorated,Lack of knowledge on how best to protect environment; migration of people to the areas; various development projects including construction of buildings and roads,Decrease,Deteriorate,Yes,Population control; planting new trees four times a year; changing life styles,NA,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0
31,106,Blue,129,Natural forests,Forest,Forest,Forest,High,"Forests provide water, fresh air; honey; Tourism; home for wildlife",Decreased,Deteriorated,Less,Less,Less,No change,Less,Less,Less,Less,Less,Deteriorated,Deteriorated,Decreased,Deteriorated,Deforestation; Population growth;Lack of knowledge on how to protect environment,Decrease,Deteriorate,Yes,There should be environmental education; Strict punishments to the deforestors; Community partcipation ,NA,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
32,107,Blue,131,Coffee Plantations,Agriculture - Plantations,Agriculture,Agriculture,Moderate,Provides jobs to the locals; increased income to the community,Decreased,Deteriorated,More,More,More,No change,More,More,More,More,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,Deforeatation; ujamaa policy,Decrease,Deteriorate,Yes,Plantations should be led by individuals instead of villages or joint managment,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
33,108,Blue,131,Springs,Freshwater - Springs,Freshwater,Freshwater,High,"Water source for home use, agriculture; Keep environment natural",Decreased,Deteriorated,More,More,More,More,Less,More,More,More,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,Human activities in the water sources; unplanned settlement; Over population,Decrease,Deteriorate,Yes,Need to cultivate trees around water sources; awareness raising among communities around the areas,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
34,109,Blue,131,Chagga home garden,Agroforestry - Chagga Homegarden,Agriculture,Agroforestry,High,These are areas where community members access their basic needs such as food; shelter etc,Decreased,Deteriorated,More,More,More,More,More,Less,Less,Less,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,Increased human activities; over population; unplanned settlements; deforestation,Decrease,Not change,Yes,To plan trees; educate communities on family planning; improved agricultural activities,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0
35,110,Blue,132,Natural Forest,Forest - Lowland,Forest,Forest,High,Improve weather condition; Protect river sources; home for wildlife species; ozone layer protection; Sources of energy; source of natural medicines,Decreased,Deteriorated,More,Less,More,Less,More,More,More,More,More,Deteriorated,Deteriorated,Decreased,Deteriorated,Environmental degradation eg. Tree cutting; industrilization and over population,No answer,Deteriorate,Yes,Collective responsibility in protecting environment; Government to take measures for those who destroy environment; Conduct seminars on the importance of enveronmental conservation,Natural forest helps to protect the snow of mount Kilimanjaro,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
36,111,Blue,132,Chagga home garden,Agroforestry - Chagga Homegarden,Agriculture,Agroforestry,High,It is where people lives and produce their income,Increased,Deteriorated,Less,No answer,Less,Less,Less,Less,Less,Less,Less,Deteriorated,Deteriorated,Decreased,Deteriorated,Over population; Deforestation; less education on where to build houses; use of artificial fertilizers ,Decrease,Deteriorate,Yes,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1,Green,1,Forest,Forest - Lowland,Forest,Forest,High,Services such as timber; medicine; rainfall; Habitat for animals; Breeding sites,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,no answer,No answer,No answer,Yes,Awareness raising about forest potentials; encourage sustainable forest utilization; participatory planning and decision making on the community forests,NA,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
38,2,Green,1,Aquatic,Freshwater - Lowland,Freshwater,Freshwater,High,"source of food, breeding site, source of water for human use",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Decreased,Deteriorated,Effects of climate change; overutilization; Environmental pollution,Decrease,Deteriorate,Yes,Awareness raising on environmental conservation,NA,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
39,3,Green,1,Savanna,Savannah - Lowland,Grassland,Grassland,High,Breeding site and habitat for other organisms,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,no answer,No answer,No answer,No answer,no answer,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,4,Green,12,Riverine Forest,Forest - Riverine,Forest,Forest,Moderate,Corridors; Refuge areas for biodiversity,Decreased,Deteriorated,No answer,No answer,Less,Less,No answer,Less,Less,No answer,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,Conversion into agriculture; overgrazing; water diversion; Deforestation,Decrease,Deteriorate,Yes,Law enforcement,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41,5,Green,12,Lowland Rain forests,Forest - Lowland,Forest,Forest,Moderate,"High biodiversity, remained only remnants ",Decreased,Deteriorated,Less,No answer,No answer,No answer,No answer,Less,Less,No answer,No answer,Not changed,Not changed,Not changed,Not changed,land cover conversion,Decrease,Deteriorate,Yes,Strict protection; Replanting indigenous trees,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
42,6,Green,12,Savanna Lowlands,Savannah - Lowland,Grassland,Grassland,High,Settlement areas; High biodiversity,Decreased,Deteriorated,Less,No answer,No answer,No answer,No answer,Less,Less,No answer,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,Land cover conversion; Overgrazing due to population increase,Decrease,Deteriorate,Yes,Not possible,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,7,Green,12,Alpne Vegetation,Alpine,Rock and ice,Alpine,High,Many research plots; Endemic plants,Increased,Not changed,No change,No change,No change,No change,No change,No change,No answer,No answer,No change,Not changed,Not changed,Not changed,Not changed,Fires in the sub alpine zone,Increase,Not change,Yes,Fire Management,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
44,8,Green,12,Montane Forest,Forest - Montane,Forest,Forest,High,Research areas; main water source,Not changed,Deteriorated,Less,No change,No answer,No answer,No answer,Less,No answer,No answer,No answer,Not changed,Not changed,Decreased,No answer,Decreasing precipitation; illegal logging; fires,Not change,Deteriorate,Yes,More rangers; fire management,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
45,9,Green,12,Subalpine Erica Bushland,Alpine - Bushland,Grassland,Alpine,High,Research areas,Not changed,Not changed,Less,Less,Less,Less,Less,Less,Less,Less,Less,Not changed,Not changed,Decreased,Not changed,Recurring Fires,Not change,Not change,Yes,Firemanagement by National Park authorities,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
46,10,Green,12,Chagga Home gardens,Agroforestry - Chagga Homegarden,Agriculture,Agroforestry,High,Food source; Research areas; High Diversity,Not changed,Deteriorated,Less,No answer,Less,No answer,No answer,Less,Less,No answer,No answer,Not changed,Not changed,Decreased,Deteriorated,Population increase,Not change,Deteriorate,Yes,Tree planting,NA,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
